group_name,mean_cpu_time(us),mean_wait_time(us),mean_exec_time(us),matrix_size
c_100_m_256,67144.000000,465458.500000,532602.500000,256
c_100_m_128,18312.250000,124347.375000,142659.625000,128
c_100_m_64,5161.750000,478008.750000,483170.500000,64
c_100_m_32,1850.250000,125089.125000,126939.375000,32
c_75_m_256,66740.625000,513209.500000,579950.125000,256
c_75_m_128,16398.125000,142494.000000,158892.125000,128
c_75_m_64,3642.250000,529739.000000,533381.250000,64
c_75_m_32,977.250000,140729.750000,141707.000000,32
c_50_m_256,64943.625000,572398.250000,637341.875000,256
c_50_m_128,18381.250000,135309.875000,153691.125000,128
c_50_m_64,3156.375000,579717.250000,582873.625000,64
c_50_m_32,1805.875000,152641.375000,154447.250000,32
c_25_m_256,67664.250000,708909.000000,776573.250000,256
c_25_m_128,17148.250000,158925.250000,176073.500000,128
c_25_m_64,4663.000000,637585.125000,642248.125000,64
c_25_m_32,1026.500000,166369.625000,167396.125000,32
