group_name,mean_cpu_time(us),mean_wait_time(us),mean_exec_time(us),matrix_size
c_100_m_256,67222.125000,414016.000000,481238.125000,256
c_100_m_128,14997.000000,165731.750000,180728.750000,128
c_100_m_64,3704.750000,390303.625000,394008.375000,64
c_100_m_32,1056.125000,152701.000000,153757.125000,32
c_75_m_256,65725.750000,434904.000000,500629.750000,256
c_75_m_128,17138.625000,164937.250000,182075.875000,128
c_75_m_64,4190.250000,417298.250000,421488.500000,64
c_75_m_32,1023.250000,165168.500000,166191.750000,32
c_50_m_256,68241.750000,531452.125000,599693.875000,256
c_50_m_128,14808.250000,175870.500000,190678.750000,128
c_50_m_64,5199.250000,455698.250000,460897.500000,64
c_50_m_32,1000.500000,174536.875000,175537.375000,32
c_25_m_256,67705.125000,616914.375000,684619.500000,256
c_25_m_128,14124.375000,177004.000000,191128.375000,128
c_25_m_64,5218.375000,491485.625000,496704.000000,64
c_25_m_32,1051.250000,185868.000000,186919.250000,32
