group_name,thread_number,cpu_time(us),wait_time(us),exec_time(us)
c_100_m_256,0,182649,368619,551268
c_100_m_256,1,305355,1356115,1661470
c_100_m_256,2,320857,2025647,2346504
c_100_m_256,3,205217,2993723,3198940
c_100_m_256,4,187750,368324,556074
c_100_m_256,5,262836,1360200,1623036
c_100_m_256,6,324803,2000489,2325292
c_100_m_256,7,208463,2982391,3190854
c_100_m_128,8,45558,60,45618
c_100_m_128,9,43183,322792,365975
c_100_m_128,10,43426,502224,545650
c_100_m_128,11,40615,579034,619649
c_100_m_128,12,88163,2665,90828
c_100_m_128,13,71385,492719,564104
c_100_m_128,14,77090,858948,936038
c_100_m_128,15,98768,1285439,1384207
c_100_m_64,16,8848,96993,105841
c_100_m_64,17,11500,824828,836328
c_100_m_64,18,18470,2346530,2365000
c_100_m_64,19,8860,3199032,3207892
c_100_m_64,20,8449,92971,101420
c_100_m_64,21,8203,824933,833136
c_100_m_64,22,16170,2324998,2341168
c_100_m_64,23,8252,3190573,3198825
c_100_m_32,24,2078,45351,47429
c_100_m_32,25,2064,221963,224027
c_100_m_32,26,2817,404520,407337
c_100_m_32,27,6103,619377,625480
c_100_m_32,28,2259,272740,274999
c_100_m_32,29,2105,340726,342831
c_100_m_32,30,2239,656707,658946
c_100_m_32,31,2149,1116376,1118525
c_75_m_256,32,172908,531994,704902
c_75_m_256,33,300619,1520072,1820691
c_75_m_256,34,229666,2365077,2594743
c_75_m_256,35,178512,3207949,3386461
c_75_m_256,36,181172,524095,705267
c_75_m_256,37,294998,1474513,1769511
c_75_m_256,38,230288,2340906,2571194
c_75_m_256,39,198045,3202442,3400487
c_75_m_128,40,50204,113295,163499
c_75_m_128,41,44836,223764,268600
c_75_m_128,42,45367,499667,545034
c_75_m_128,43,50931,711918,762849
c_75_m_128,44,73924,214754,288678
c_75_m_128,45,62963,539814,602777
c_75_m_128,46,92504,853523,946027
c_75_m_128,47,109843,1298474,1408317
c_75_m_64,48,9483,156366,165849
c_75_m_64,49,12194,909396,921590
c_75_m_64,50,8667,2594823,2603490
c_75_m_64,51,13948,3386557,3400505
c_75_m_64,52,8150,160285,168435
c_75_m_64,53,8181,908311,916492
c_75_m_64,54,16120,2570940,2587060
c_75_m_64,55,8344,3400276,3408620
c_75_m_32,56,2049,96299,98348
c_75_m_32,57,5834,361226,367060
c_75_m_32,58,2126,452169,454295
c_75_m_32,59,2190,656144,658334
c_75_m_32,60,2075,156266,158341
c_75_m_32,61,2069,400040,402109
c_75_m_32,62,11509,740264,751773
c_75_m_32,63,2093,1215817,1217910
c_50_m_256,64,184285,454222,638507
c_50_m_256,65,259869,1620170,1880039
c_50_m_256,66,181407,2603500,2784907
c_50_m_256,67,170959,3400508,3571467
c_50_m_256,68,173564,471038,644602
c_50_m_256,69,263379,1574923,1838302
c_50_m_256,70,176183,2586732,2762915
c_50_m_256,71,183547,3408310,3591857
c_50_m_128,72,44521,98011,142532
c_50_m_128,73,43914,271804,315718
c_50_m_128,74,42643,453956,496599
c_50_m_128,75,45659,658046,703705
c_50_m_128,76,69054,225302,294356
c_50_m_128,77,76334,519448,595782
c_50_m_128,78,91826,877173,968999
c_50_m_128,79,118911,1357631,1476542
c_50_m_64,80,13513,221088,234601
c_50_m_64,81,8227,1019907,1028134
c_50_m_64,82,8443,2784931,2793374
c_50_m_64,83,12657,3571515,3584172
c_50_m_64,84,8191,220576,228767
c_50_m_64,85,17202,1019507,1036709
c_50_m_64,86,14956,2762680,2777636
c_50_m_64,87,8155,3591593,3599748
c_50_m_32,88,2073,142259,144332
c_50_m_32,89,2053,315475,317528
c_50_m_32,90,2099,496325,498424
c_50_m_32,91,2067,703454,705521
c_50_m_32,92,2222,220463,222685
c_50_m_32,93,2237,451331,453568
c_50_m_32,94,2086,856423,858509
c_50_m_32,95,2110,1267292,1269402
c_25_m_256,96,181128,595949,777077
c_25_m_256,97,310026,1699394,2009420
c_25_m_256,98,185866,2793547,2979413
c_25_m_256,99,183753,3584261,3768014
c_25_m_256,100,179098,582059,761157
c_25_m_256,101,342999,1655344,1998343
c_25_m_256,102,189476,2777419,2966895
c_25_m_256,103,180081,3599501,3779582
c_25_m_128,104,40501,155142,195643
c_25_m_128,105,48346,340282,388628
c_25_m_128,106,46199,530719,576918
c_25_m_128,107,40640,729217,769857
c_25_m_128,108,65917,245171,311088
c_25_m_128,109,63597,537391,600988
c_25_m_128,110,94434,919697,1014131
c_25_m_128,111,108088,1269084,1377172
c_25_m_64,112,12653,271307,283960
c_25_m_64,113,8474,1114946,1123420
c_25_m_64,114,11433,2979411,2990844
c_25_m_64,115,8615,3767980,3776595
c_25_m_64,116,8121,278761,286882
c_25_m_64,117,26732,1114510,1141242
c_25_m_64,118,13268,2966557,2979825
c_25_m_64,119,12188,3779230,3791418
c_25_m_32,120,2052,158644,160696
c_25_m_32,121,2070,342622,344692
c_25_m_32,122,2069,510780,512849
c_25_m_32,123,2315,738891,741206
c_25_m_32,124,2096,270570,272666
c_25_m_32,125,7309,510651,517960
c_25_m_32,126,3341,906537,909878
c_25_m_32,127,2147,1473831,1475978
