group_name,thread_number,cpu_time(us),wait_time(us),exec_time(us)
c_100_m_256,0,311282,950174,1261456
c_100_m_256,1,318436,2270470,2588906
c_100_m_256,2,360516,1061316,1421832
c_100_m_256,3,338474,2646534,2985008
c_100_m_256,4,356888,1017119,1374007
c_100_m_256,5,347972,2561666,2909638
c_100_m_256,6,394102,3244423,3638525
c_100_m_256,7,369777,4064829,4434606
c_100_m_128,8,75431,293791,369222
c_100_m_128,9,81110,726106,807216
c_100_m_128,10,78566,1051157,1129723
c_100_m_128,11,85757,1670992,1756749
c_100_m_128,12,69207,226559,295766
c_100_m_128,13,88475,704921,793396
c_100_m_128,14,87078,1053092,1140170
c_100_m_128,15,62615,1419915,1482530
c_100_m_64,16,19151,98454,117605
c_100_m_64,17,33274,1456879,1490153
c_100_m_64,18,11119,2130632,2141751
c_100_m_64,19,16544,2862219,2878763
c_100_m_64,20,20404,157784,178188
c_100_m_64,21,16796,1521655,1538451
c_100_m_64,22,16497,3558823,3575320
c_100_m_64,23,20661,4294125,4314786
c_100_m_32,24,2297,153507,155804
c_100_m_32,25,2206,517107,519313
c_100_m_32,26,2213,877043,879256
c_100_m_32,27,2206,1448818,1451024
c_100_m_32,28,2647,85189,87836
c_100_m_32,29,3996,348723,352719
c_100_m_32,30,2315,864471,866786
c_100_m_32,31,2563,1233175,1235738
c_75_m_256,32,351666,962801,1314467
c_75_m_256,33,327938,1800521,2128459
c_75_m_256,34,329847,2139582,2469429
c_75_m_256,35,336185,2876575,3212760
c_75_m_256,36,331821,1170354,1502175
c_75_m_256,37,373908,2866092,3240000
c_75_m_256,38,343763,3573153,3916916
c_75_m_256,39,355959,4312615,4668574
c_75_m_128,40,78108,307410,385518
c_75_m_128,41,109291,685134,794425
c_75_m_128,42,86386,1051672,1138058
c_75_m_128,43,76902,1686573,1763475
c_75_m_128,44,70908,226998,297906
c_75_m_128,45,126763,583117,709880
c_75_m_128,46,97711,1050686,1148397
c_75_m_128,47,93074,1385394,1478468
c_75_m_64,48,16708,151602,168310
c_75_m_64,49,16462,1511420,1527882
c_75_m_64,50,20483,2246459,2266942
c_75_m_64,51,8678,2975341,2984019
c_75_m_64,52,12962,220901,233863
c_75_m_64,53,16767,1570819,1587586
c_75_m_64,54,8407,3629550,3637957
c_75_m_64,55,24511,4425631,4450142
c_75_m_32,56,2313,226418,228731
c_75_m_32,57,2162,562292,564454
c_75_m_32,58,7975,946137,954112
c_75_m_32,59,24032,1510080,1534112
c_75_m_32,60,7914,146071,153985
c_75_m_32,61,6578,421957,428535
c_75_m_32,62,10454,943315,953769
c_75_m_32,63,4328,1319994,1324322
c_50_m_256,64,335780,1052544,1388324
c_50_m_256,65,332009,1912270,2244279
c_50_m_256,66,335262,2269776,2605038
c_50_m_256,67,365599,2992857,3358456
c_50_m_256,68,321525,1173822,1495347
c_50_m_256,69,350390,1585413,1935803
c_50_m_256,70,387739,3635770,4023509
c_50_m_256,71,351066,4447953,4799019
c_50_m_128,72,86853,325115,411968
c_50_m_128,73,85110,705912,791022
c_50_m_128,74,87638,1146355,1233993
c_50_m_128,75,78538,1724833,1803371
c_50_m_128,76,72333,248133,320466
c_50_m_128,77,106019,688944,794963
c_50_m_128,78,73591,1110562,1184153
c_50_m_128,79,71935,1425528,1497463
c_50_m_64,80,20833,219063,239896
c_50_m_64,81,16482,1562880,1579362
c_50_m_64,82,21225,2460377,2481602
c_50_m_64,83,16632,3203717,3220349
c_50_m_64,84,21075,281716,302791
c_50_m_64,85,28841,1933637,1962478
c_50_m_64,86,20580,3907896,3928476
c_50_m_64,87,12835,4678022,4690857
c_50_m_32,88,2162,278866,281028
c_50_m_32,89,2133,641732,643865
c_50_m_32,90,2265,1005734,1007999
c_50_m_32,91,2214,1561508,1563722
c_50_m_32,92,2468,210225,212693
c_50_m_32,93,6770,497380,504150
c_50_m_32,94,9165,1005132,1014297
c_50_m_32,95,2256,1368992,1371248
c_25_m_256,96,370414,1072918,1443332
c_25_m_256,97,369951,1577152,1947103
c_25_m_256,98,369235,2479415,2848650
c_25_m_256,99,327381,3218173,3545554
c_25_m_256,100,318782,1140554,1459336
c_25_m_256,101,353765,1960269,2314034
c_25_m_256,102,354269,3926248,4280517
c_25_m_256,103,345092,4688641,5033733
c_25_m_128,104,77038,350709,427747
c_25_m_128,105,78982,641670,720652
c_25_m_128,106,67161,1005814,1072975
c_25_m_128,107,127116,1561536,1688652
c_25_m_128,108,71821,262425,334246
c_25_m_128,109,94296,678291,772587
c_25_m_128,110,104133,1069321,1173454
c_25_m_128,111,82104,1436555,1518659
c_25_m_64,112,25017,275537,300554
c_25_m_64,113,16723,1798077,1814800
c_25_m_64,114,19551,2598671,2618222
c_25_m_64,115,22388,3351765,3374153
c_25_m_64,116,20446,341974,362420
c_25_m_64,117,21645,2312185,2333830
c_25_m_64,118,29987,4016781,4046768
c_25_m_64,119,29346,4792312,4821658
c_25_m_32,120,2186,341361,343547
c_25_m_32,121,2133,718501,720634
c_25_m_32,122,2134,1070814,1072948
c_25_m_32,123,2189,1686530,1688719
c_25_m_32,124,8981,265027,274008
c_25_m_32,125,2232,548720,550952
c_25_m_32,126,2353,1092714,1095067
c_25_m_32,127,2242,1424789,1427031
