group_name, mean_cpu_time(us), mean_wait_time(us), mean_exec_time(us), matrix_size
c_100_m_256,249741.250000,1681938.500000,1931679.750000,256
c_100_m_128,63523.500000,505485.125000,569008.625000,128
c_100_m_64,11094.000000,1612607.250000,1623701.250000,64
c_100_m_32,2726.750000,459720.000000,462446.750000,32
c_75_m_256,223276.000000,1895881.000000,2119157.000000,256
c_75_m_128,66321.500000,556901.125000,623222.625000,128
c_75_m_64,10635.875000,1760869.250000,1771505.125000,64
c_75_m_32,3743.125000,509778.125000,513521.250000,32
c_50_m_256,199149.125000,2014925.375000,2214074.500000,256
c_50_m_128,66607.750000,557671.375000,624279.125000,128
c_50_m_64,11418.000000,1898974.625000,1910392.625000,64
c_50_m_32,2118.375000,556627.750000,558746.125000,32
c_25_m_256,219053.375000,2160934.000000,2379987.500000,256
c_25_m_128,63465.250000,590837.875000,654303.125000,128
c_25_m_64,12685.500000,2034087.750000,2046773.250000,64
c_25_m_32,2924.875000,614065.750000,616990.625000,32
