group_name, mean_cpu_time(us), mean_wait_time(us), mean_exec_time(us), matrix_size
c_100_m_256,349680.875000,2227066.500000,2576747.250000,256
c_100_m_128,78529.875000,893316.625000,971846.500000,128
c_100_m_64,19305.750000,2010071.375000,2029377.125000,64
c_100_m_32,2555.375000,691004.125000,693559.500000,32
c_75_m_256,343885.875000,2462711.500000,2806597.500000,256
c_75_m_128,92392.875000,872123.000000,964515.875000,128
c_75_m_64,15622.250000,2091465.250000,2107087.500000,64
c_75_m_32,8219.500000,759533.000000,767752.500000,32
c_50_m_256,347421.250000,2383800.750000,2731222.000000,256
c_50_m_128,82752.125000,921922.750000,1004674.875000,128
c_50_m_64,19812.875000,2280913.500000,2300726.500000,64
c_50_m_32,3679.125000,821196.125000,824875.250000,32
c_25_m_256,351111.125000,2507921.500000,2859032.500000,256
c_25_m_128,87831.375000,875790.125000,963621.500000,128
c_25_m_64,23137.875000,2435912.500000,2459050.500000,64
c_25_m_32,3056.250000,893557.000000,896613.250000,32
